key,zh_TW
寒冰毒箭,寒冰毒箭
千針萬確,千針萬確
捕捉網,捕捉網
荒野備戰,荒野備戰
銀槍,銀槍
爆裂標槍,爆裂標槍
草藥專精,草藥專精
獵者追蹤,獵者追蹤
魔化獵手,魔化獵手
螺旋標槍,螺旋標槍
荊棘飛槍,荊棘飛槍
戰鬥組裝,戰鬥組裝
斷界神槍,斷界神槍
靈魂燈籠,靈魂燈籠
契約召喚,契約召喚
毒針連擊,毒針連擊
紅旗指導,紅旗指導
藍旗指導,藍旗指導
動物專精,動物專精
齊心協力,齊心協力
獵鷹衝擊,獵鷹衝擊
野性領導,野性領導
野性吶喊,野性吶喊
獸魔無極,獸魔無極
自然恢復,自然恢復
魔力吞噬,魔力吞噬
厚重毛皮,厚重毛皮
冰瀑,冰瀑
吸血爪牙,吸血爪牙
黑霧,黑霧
療癒術,療癒術
衝動靈魂,衝動靈魂
風壓,風壓
灼燒,灼燒
雷霆一擊,雷霆一擊
反向魔法,反向魔法
力量腐化,力量腐化
光明之翼,光明之翼
分擔痛楚,分擔痛楚
架勢切換,架勢切換
瞬斬,瞬斬
玄月,玄月
鷹爪,鷹爪
飛鴉,飛鴉
流打,流打
燕返,燕返
居合,居合
天地流劍道,天地流劍道
天地流秘傳,天地流秘傳
受流,受流
猛襲,猛襲
水車,水車
一閃,一閃
點水,點水
鷹襲,鷹襲
月影,月影
日輪,日輪
古代龍石,古代龍石
御靈魔石,御靈魔石
靈魂進化點數,靈魂進化點數
靈魂進化儀,靈魂進化儀
黑暗議會,黑暗議會
亞佴特,亞佴特
奧米克戎,奧米克戎
暗黑裂變,暗黑裂變
暗黑裂變儀,暗黑裂變儀
遠古銩遺跡,遠古銩遺跡
健康值,健康值
魔王痕跡,魔王痕跡
時裝,時裝
受傷無敵幀,受傷無敵幀
重力傷害,重力傷害
絕對傷害,絕對傷害
全能攻擊力,全能攻擊力
絕對抵禦,絕對抵禦
深淵魔盾,深淵魔盾
生命之源,生命之源
神靈祝福,神靈祝福
大地守護,大地守護
闇影守護,闇影守護
巨人守衛的意志,巨人守衛的意志
深淵護衛的意志,深淵護衛的意志
聖界守護神的威嚴,聖界守護神的威嚴
 天界制裁, 天界制裁
 心靈之泉, 心靈之泉
 火狐,火狐
 冰龍,冰龍
 和平之光,和平之光
 和平光環, 和平光環
 奉獻之泉,奉獻之泉
 致殘效果,致殘效果
 風蛇,風蛇
 破魔效果,破魔效果
 神盾庇護,神盾庇護
 神蹟值,神蹟值
 混沌傷害,混沌傷害
 喚獸效果,喚獸效果
 絕對傷害,絕對傷害
 聖光審判,聖光審判
 福音傳遞,福音傳遞
 影狼,影狼
 輝煌世紀,輝煌世紀
 魔導刻紋,魔導刻紋
 魔蠍,魔蠍
 靈貓,靈貓
一轉,一轉
二轉,二轉
三轉,三轉
刀鋒劍雨,刀鋒劍雨
大地守護,大地守護
大地符,大地符
大師魔導,大師魔導
不屈之火,不屈之火
不屈怒焰,不屈怒焰
不治效果,不治效果
中和鱗粉,中和鱗粉
仇恨,仇恨
分裂射擊,分裂射擊
分裂劇毒,分裂劇毒
天流,天流
天界制裁,天界制裁
幻靈效果,幻靈效果
火之祈禱,火之祈禱
火狐,火狐
火焰隕石,火焰隕石
火魂擴散,火魂擴散
火鳳凰,火鳳凰
充能靈轉符,充能靈轉符
出血,出血
囚禁,囚禁
巨人守衛的意志,巨人守衛的意志
永恆之護,永恆之護
生命之源,生命之源
生命吸收,生命吸收
生命啟示,生命啟示
先祖吶喊,先祖吶喊
先祖意志,先祖意志
先靈圖騰,先靈圖騰
光之信仰,光之信仰
光之射線,光之射線
光速斬切,光速斬切
全能攻擊力,全能攻擊力
冰河地獄,冰河地獄
冰龍,冰龍
冰霜箭陣,冰霜箭陣
同步心靈,同步心靈
同調值,同調值
回生盾牆,回生盾牆
回復封鎖,回復封鎖
地流,地流
地獄之門,地獄之門
多重變異,多重變異
死神印記,死神印記
汙染之血,汙染之血
自動弩砲塔,自動弩砲塔
血刃切割,血刃切割
血色愉悅,血色愉悅
血色懸賞,血色懸賞
血脈侵蝕,血脈侵蝕
血脈崩壞,血脈崩壞
血戰狂怒,血戰狂怒
利刃悅靈,利刃悅靈
利箭風暴,利箭風暴
吹箭,吹箭
沉默效果,沉默效果
防禦策略,防禦策略
防護射擊,防護射擊
刺客,刺客
受傷無敵幀,受傷無敵幀
和平之光,和平之光
夜使者,夜使者
拔刀效果,拔刀效果
法力風暴,法力風暴
法力激發,法力激發
法師,法師
牧師,牧師
物理攻擊力,物理攻擊力
物理近戰,物理近戰
物理遠程,物理遠程
附加傷害,附加傷害
附魔神箭,附魔神箭
勇敢之心,勇敢之心
怒焰火球,怒焰火球
急速蓄力,急速蓄力
毒刃,毒刃
毒性標記,毒性標記
毒沼,毒沼
毒殺,毒殺
活性草藥,活性草藥
狩獵指令,狩獵指令
狩獵標記,狩獵標記
致命傷害,致命傷害
致殘狀態,致殘狀態
苦無,苦無
負重,負重
重力攻擊,重力攻擊
重力攻擊,重力攻擊
重力球,重力球
重力傷害,重力傷害
重傷倒下,重傷倒下
風切,風切
風破效果,風破效果
風蛇,風蛇
風舞射擊,風舞射擊
弱點狙擊,弱點狙擊
悅靈再生,悅靈再生
格擋,格擋
涅槃之火,涅槃之火
消滅光束,消滅光束
烈火符,烈火符
烈焰神劍,烈焰神劍
狼之謝禮,狼之謝禮
真實魔法傷害,真實魔法傷害
眩暈,眩暈
破片追蹤,破片追蹤
破甲,破甲
破陣連斬,破陣連斬
破碎夢境,破碎夢境
破魔,破魔
神盾庇護,神盾庇護
神聖光照,神聖光照
神箭守護,神箭守護
神靈祝福,神靈祝福
神靈陣法,神靈陣法
純淨之泉,純淨之泉
紙式神,紙式神
草藥精華,草藥精華
起源魔導,起源魔導
迴避值,迴避值
高速存儲,高速存儲
高速追蹤,高速追蹤
堅忍不拔,堅忍不拔
專長,專長
專精,專精
強化存儲,強化存儲
強化組裝,強化組裝
晨光效果,晨光效果
深淵祈禱,深淵祈禱
深淵護衛的意志,深淵護衛的意志
深淵魔盾,深淵魔盾
混沌攻擊,混沌攻擊
麻痺,麻痺
麻藥效果,麻藥效果
創傷,創傷
寒冰法陣,寒冰法陣
復仇,復仇
復仇反擊,復仇反擊
殘暴屠宰,殘暴屠宰
無盡夢魘,無盡夢魘
硬殼盔甲,硬殼盔甲
絕對抵禦,絕對抵禦
絕對信任,絕對信任
絕對傷害,絕對傷害
虛無靈轉符,虛無靈轉符
詛咒血源,詛咒血源
超級技能,超級技能
黑夜刺殺,黑夜刺殺
黑暗元素苦痛傷害,黑暗元素苦痛傷害
黑暗元素恐懼傷害,黑暗元素恐懼傷害
黑暗斬切,黑暗斬切
暗夜匿蹤,暗夜匿蹤
暗殺標記,暗殺標記
暗黑典籍,暗黑典籍
暗黑符,暗黑符
暗影嘲諷,暗影嘲諷
暗影撕咬,暗影撕咬
極冰符,極冰符
極限咒術,極限咒術
極限蓄力,極限蓄力
極端抗性,極端抗性
毀滅圖騰,毀滅圖騰
煉獄火雨,煉獄火雨
煉獄鎖鏈,煉獄鎖鏈
禁忌魔典,禁忌魔典
禁術充能,禁術充能
禁斷雷電,禁斷雷電
聖光守護龍,聖光守護龍
聖光符,聖光符
聖光誓言,聖光誓言
聖界守護神的威嚴,聖界守護神的威嚴
落星神箭,落星神箭
落星神箭,落星神箭
遊俠,遊俠
過量治療,過量治療
雷電法陣,雷電法陣
雷電戰斧,雷電戰斧
雷霆穿空箭,雷霆穿空箭
雷霆重劈,雷霆重劈
雷霆電圈,雷霆電圈
雷霆魔劍,雷霆魔劍
電盾,電盾
夥伴,夥伴
夥伴照護,夥伴照護
瘋狂連爪,瘋狂連爪
竭盡所能,竭盡所能
輕盈弓法,輕盈弓法
劇毒斬,劇毒斬
劍士,劍士
審判者之眼,審判者之眼
審判終曲,審判終曲
影狼,影狼
憤怒再生,憤怒再生
撕裂效果,撕裂效果
暴擊值,暴擊值
潛行刺殺,潛行刺殺
箭矢風暴,箭矢風暴
箭技,箭技
緩速,緩速
緩速效果,緩速效果
輝煌世紀,輝煌世紀
震地一擊,震地一擊
震擊,震擊
噩夢領域,噩夢領域
噬血爪牙,噬血爪牙
噬血本能,噬血本能
戰利品,戰利品
戰神領域,戰神領域
戰鬥咆嘯,戰鬥咆嘯
戰鎚,戰鎚
激流斬,激流斬
龍之祈禱,龍之祈禱
擊穿效果,擊穿效果
擊退,擊退
螺旋穿刺,螺旋穿刺
闇影守護,闇影守護
雙重魔化,雙重魔化
騎士,騎士
爆裂穿空箭,爆裂穿空箭
爆裂穿空箭,爆裂穿空箭
爆擊傷害,爆擊傷害
霹靂電球,霹靂電球
魔力過載,魔力過載
魔力爆破,魔力爆破
魔化防禦,魔化防禦
魔法激發,魔法激發
魔術箭袋,魔術箭袋
魔魂符,魔魂符
魔導庇護,魔導庇護
魔導刻紋,魔導刻紋
魔蠍,魔蠍
靈魂虹吸,靈魂虹吸
靈貓,靈貓
